record_type,run,pond_position,caught_order,species,rarity,length_cm,girth_cm,weight_kg,price,pond_total_value,caught_total_value,rarity_1_count,rarity_2_count,rarity_3_count,rarity_4_count,pond_value_min,pond_value_average,pond_value_max,seed
"fish","1","1","1","Atlantic Cod","2","67","42.21","4.263315525","8.01","","","","","","","","","",""
"fish","1","2","2","Atlantic Cod","2","71","44.73","5.073388425","8.82","","","","","","","","","",""
"fish","1","3","3","Common Carp","1","28","21","0.49392","3.04","","","","","","","","","",""
"fish","1","4","4","Common Carp","1","54","40.5","3.54294","6.09","","","","","","","","","",""
"fish","1","5","5","Common Carp","1","28","21","0.49392","3.04","","","","","","","","","",""
"fish","1","6","","Atlantic Cod","2","54","34.02","2.2320522","5.98","","","","","","","","","",""
"fish","1","7","","Atlantic Cod","2","55","34.65","2.358365625","6.11","","","","","","","","","",""
"fish","1","8","","Lanternfish","4","7","3.5","0.003572916667","26.50","","","","","","","","","",""
"fish","1","9","","Bluefish","3","75","48","6.171428571","15.30","","","","","","","","","",""
"fish","1","10","","Atlantic Cod","2","78","49.14","6.7267746","10.48","","","","","","","","","",""
"fish","1","11","","Atlantic Cod","2","68","42.84","4.4570736","8.21","","","","","","","","","",""
"fish","1","12","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","1","13","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","1","14","","Atlantic Cod","2","50","31.5","1.771875","5.52","","","","","","","","","",""
"fish","1","15","","Atlantic Cod","2","38","23.94","0.7778106","4.53","","","","","","","","","",""
"fish","1","16","","Atlantic Herring","1","33","18.15","0.4026275","3.08","","","","","","","","","",""
"fish","1","17","","Atlantic Cod","2","58","36.54","2.7657126","6.52","","","","","","","","","",""
"fish","1","18","","Pacific Sardine","1","22","13.64","0.1949091048","2.87","","","","","","","","","",""
"fish","1","19","","Atlantic Cod","2","74","46.62","5.7440502","9.49","","","","","","","","","",""
"fish","1","20","","Tuna","3","96","69.12","16.38025509","25.51","","","","","","","","","",""
"fish","1","21","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","1","22","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","1","23","","Common Carp","1","27","20.25","0.4428675","2.99","","","","","","","","","",""
"fish","1","24","","Bluefish","3","41","26.24","1.008215771","10.13","","","","","","","","","",""
"fish","1","25","","Atlantic Cod","2","67","42.21","4.263315525","8.01","","","","","","","","","",""
"fish","1","26","","Atlantic Cod","2","66","41.58","4.0752558","7.83","","","","","","","","","",""
"fish","1","27","","Atlantic Herring","1","27","14.85","0.2205225","2.90","","","","","","","","","",""
"fish","1","28","","Atlantic Herring","1","27","14.85","0.2205225","2.90","","","","","","","","","",""
"fish","1","29","","Pacific Sardine","1","19","11.78","0.1255523619","2.80","","","","","","","","","",""
"fish","1","30","","Common Carp","1","34","25.5","0.88434","3.43","","","","","","","","","",""
"fish","1","31","","Atlantic Cod","2","36","22.68","0.6613488","4.41","","","","","","","","","",""
"fish","1","32","","Atlantic Cod","2","43","27.09","1.127011725","4.88","","","","","","","","","",""
"fish","1","33","","Bluefish","3","84","53.76","8.6704128","17.80","","","","","","","","","",""
"fish","1","34","","Atlantic Herring","1","31","17.05","0.333769537","3.01","","","","","","","","","",""
"fish","1","35","","Atlantic Cod","2","58","36.54","2.7657126","6.52","","","","","","","","","",""
"fish","1","36","","Atlantic Cod","2","56","35.28","2.4893568","6.24","","","","","","","","","",""
"fish","1","37","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
"fish","1","38","","Common Carp","1","53","39.75","3.3497325","5.90","","","","","","","","","",""
"fish","1","39","","Common Carp","1","49","36.75","2.6471025","5.20","","","","","","","","","",""
"fish","1","40","","Atlantic Cod","2","90","56.7","10.333575","14.08","","","","","","","","","",""
"fish","1","41","","Common Carp","1","43","32.25","1.7889075","4.34","","","","","","","","","",""
"fish","1","42","","Atlantic Herring","1","34","18.7","0.4403503704","3.12","","","","","","","","","",""
"fish","1","43","","Pacific Sardine","1","25","15.5","0.2860119048","2.96","","","","","","","","","",""
