record_type,run,pond_position,caught_order,species,rarity,length_cm,girth_cm,weight_kg,price,pond_total_value,caught_total_value,rarity_1_count,rarity_2_count,rarity_3_count,rarity_4_count,pond_value_min,pond_value_average,pond_value_max,seed
"fish","1","1","1","Tuna","3","99","71.28","17.96439291","19.09","","","","","","","","","",""
"fish","1","2","2","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","1","3","3","Atlantic Cod","2","67","42.21","4.263315525","5.01","","","","","","","","","",""
"fish","1","4","4","Common Carp","1","54","40.5","3.54294","3.79","","","","","","","","","",""
"fish","1","5","5","Atlantic Cod","2","88","55.44","9.6598656","10.41","","","","","","","","","",""
"fish","1","6","","Atlantic Cod","2","54","34.02","2.2320522","2.98","","","","","","","","","",""
"fish","1","7","","Atlantic Cod","2","99","62.37","13.75398832","14.50","","","","","","","","","",""
"fish","1","8","","Common Carp","1","33","24.75","0.8085825","1.06","","","","","","","","","",""
"fish","1","9","","Bluefish","3","70","44.8","5.0176","6.14","","","","","","","","","",""
"fish","1","10","","Atlantic Cod","2","78","49.14","6.7267746","7.48","","","","","","","","","",""
"fish","1","11","","Atlantic Cod","2","39","24.57","0.840846825","1.59","","","","","","","","","",""
"fish","1","12","","Atlantic Cod","2","40","25.2","0.9072","1.66","","","","","","","","","",""
"fish","1","13","","Common Carp","1","44","33","1.91664","2.17","","","","","","","","","",""
"fish","1","14","","Atlantic Cod","2","50","31.5","1.771875","2.52","","","","","","","","","",""
"fish","1","15","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","1","16","","Atlantic Herring","1","33","18.15","0.4026275","0.78","","","","","","","","","",""
"fish","1","17","","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","1","18","","Pacific Sardine","1","22","13.64","0.1949091048","0.57","","","","","","","","","",""
"fish","1","19","","Atlantic Herring","1","35","19.25","0.4803587963","0.86","","","","","","","","","",""
"fish","1","20","","Atlantic Cod","2","84","52.92","8.4015792","9.15","","","","","","","","","",""
"fish","1","21","","Common Carp","1","35","26.25","0.9646875","1.21","","","","","","","","","",""
"fish","1","22","","Atlantic Cod","2","73","45.99","5.514315975","6.26","","","","","","","","","",""
"fish","1","23","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
"fish","1","24","","Atlantic Herring","1","26","14.3","0.1969162963","0.57","","","","","","","","","",""
"fish","1","25","","Atlantic Cod","2","85","53.55","8.705221875","9.46","","","","","","","","","",""
"fish","1","26","","Bluefish","3","61","39.04","3.320407771","4.45","","","","","","","","","",""
"fish","1","27","","Pacific Sardine","1","18","11.16","0.1067533714","0.48","","","","","","","","","",""
"fish","1","28","","Atlantic Herring","1","27","14.85","0.2205225","0.60","","","","","","","","","",""
"fish","1","29","","Pacific Sardine","1","19","11.78","0.1255523619","0.50","","","","","","","","","",""
"fish","1","30","","Common Carp","1","34","25.5","0.88434","1.13","","","","","","","","","",""
"fish","1","31","","Pacific Sardine","1","24","14.88","0.2530450286","0.63","","","","","","","","","",""
"fish","1","32","","Common Carp","1","29","21.75","0.5487525","0.80","","","","","","","","","",""
"fish","1","33","","Bluefish","3","64","40.96","3.834792229","4.96","","","","","","","","","",""
"fish","1","34","","Atlantic Herring","1","31","17.05","0.333769537","0.71","","","","","","","","","",""
"fish","1","35","","Atlantic Herring","1","32","17.6","0.367122963","0.74","","","","","","","","","",""
"fish","1","36","","Pacific Sardine","1","20","12.4","0.1464380952","0.52","","","","","","","","","",""
"fish","1","37","","Common Carp","1","40","30","1.44","1.69","","","","","","","","","",""
"fish","1","38","","Common Carp","1","53","39.75","3.3497325","3.60","","","","","","","","","",""
"fish","1","39","","Common Carp","1","46","34.5","2.19006","2.44","","","","","","","","","",""
"fish","1","40","","Atlantic Cod","2","90","56.7","10.333575","11.08","","","","","","","","","",""
"fish","1","41","","Atlantic Cod","2","63","39.69","3.544416225","4.29","","","","","","","","","",""
"fish","1","42","","Atlantic Herring","1","34","18.7","0.4403503704","0.82","","","","","","","","","",""
"fish","1","43","","Common Carp","1","31","23.25","0.6702975","0.92","","","","","","","","","",""
"fish","1","44","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","1","45","","Common Carp","1","41","30.75","1.5507225","1.80","","","","","","","","","",""
"fish","1","46","","Common Carp","1","42","31.5","1.66698","1.92","","","","","","","","","",""
"fish","1","47","","Pacific Sardine","1","23","14.26","0.2227140381","0.60","","","","","","","","","",""
"fish","1","48","","Pacific Sardine","1","25","15.5","0.2860119048","0.66","","","","","","","","","",""
